date,trap_N,family,plot,first_order,second_order,agb,forestquality,subplot,census,plt_sub_cen
2012-06-17,1,Carabidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Leiodidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Staphylinidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Staphylinidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Staphylinidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Scarabaeidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Endomychidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Eucnemidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2012-06-17,1,Mordelidae,A,1,580,0.4396101881600001,Poor,A-1,P3,A_A-1_P3
2011-02-22,1,Carabidae,A,1,580,0.4396101881600001,Poor,A-1,P1,A_A-1_P1
2011-11-19,1,Carabidae,A,1,580,0.4396101881600001,Poor,A-1,P2,A_A-1_P2
2011-11-19,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P2,A_A-1_P2
2011-11-19,1,Curculionidae,A,1,580,0.4396101881600001,Poor,A-1,P2,A_A-1_P2
2011-11-19,1,Leiodidae,A,1,580,0.4396101881600001,Poor,A-1,P2,A_A-1_P2
2011-02-22,1,Staphylinidae,A,1,580,0.4396101881600001,Poor,A-1,P1,A_A-1_P1
2011-02-22,1,Staphylinidae,A,1,580,0.4396101881600001,Poor,A-1,P1,A_A-1_P1
