field_name,Plot,Date,AGB_Saner,AGB_Chave_wet,AGB_Chave_moist,AGB_K09,AGB_N10,AGB_Chave14,AGB_Chave14_simulWD,AGB_Chave14_Bin5_simulWD
1,580,05/12/2010,3.01512753320897,0.403826333396991,0.43961018816,0.249779848428129,0.544331951375096,0.474479983867472,0.306046589576796,0.404043890455205
2,581,30/11/2010,35.1756565869861,4.03432421131641,4.36892014144,2.5351706812842,5.40952436350106,4.72476624759458,3.04154274096972,3.74040162657514
3,582,03/12/2010,0,0,0,0,0,0,0,0
4,583,30/11/2010,30.1418818838776,2.30526031706608,2.45980268416,1.51310595448253,3.04557277425093,2.67516662473798,1.73711531763172,2.17252619871488
5,584,06/12/2010,3.01289965334683,0.079574993755574,0.07576395776,0.066533778544948,0.093569670827528,0.086303124712324,0.055625410255933,0.080207077209086
6,585,07/12/2010,4.01886692137066,0.207195680396162,0.209984896,0.150925948182367,0.259415912804921,0.233240122585771,0.152677777210169,0.215238269958431
7,586,07/12/2010,40.2056806644974,10.7559249777546,12.68371904128,5.60383270323333,15.7870817117348,13.2532099345435,8.53877856499059,9.6855837690673
8,587,29/11/2010,26.1310223020814,2.79022385998716,2.94533063713137,1.84483784636869,3.64158945975453,3.21881371894294,2.09371612234623,2.49957947025021
9,588,29/11/2010,19.0908013939214,1.90878457048772,2.08124513216,1.19355084336807,2.57922397931904,2.2438492453008,1.44551759918183,1.60804111204634
10,589,30/11/2010,15.068221701324,0.657295942872632,0.65187084352,0.50168759897101,0.804975372666514,0.730442857643344,0.471764773515851,0.62419160946878
11,590,03/12/2010,26.1369987145983,5.08367263890076,5.6856863648,2.95752055948363,7.0498968114556,6.07036116825613,3.90288955180869,4.45374790835425
12,591,05/12/2010,28.145596927259,4.98319090986165,5.53837948120892,2.94316465013699,6.86515294186567,5.92789633727556,3.83880932382846,3.86616697975117
13,592,06/12/2010,41.204392942713,6.45395641375614,7.27785912448208,3.74307296496294,9.03539961839725,7.74073364460527,5.01650005116133,5.54041203770409
14,593,07/12/2010,6.03067296621663,0.626051443951196,0.6637050528,0.410518787844848,0.820806047195066,0.724050014573423,0.468597119020632,0.62065830350507
15,594,07/12/2010,59.2913387675281,6.50172016071993,6.97180269969518,4.17679684837207,8.6285376554708,7.56956690432134,4.89398609585817,5.50525889265505
16,595,16/01/2011,20.100672274849,2.11926544923521,2.24996438016,1.38565121419309,2.78274784771738,2.45307885209641,1.5822183085131,1.90783738170755
17,596,14/01/2011,35.1664459182519,2.88988315748719,3.00048447296,1.98868313562904,3.70833700911364,3.3006831244801,2.12285341277844,2.5614265830724
18,597,16/01/2011,23.1154848014187,3.73777939784493,4.13850520704,2.23186377731332,5.12950329173875,4.4359724719852,2.86660481152019,3.29918559485053
19,598,16/01/2011,31.1585633572521,4.86830083785333,5.43005660089772,2.86589417003239,6.73382526491854,5.80277588247351,3.72194914471626,4.2773778749261
20,599,22/01/2011,10.0496791572875,0.928579702203877,0.97363376832,0.624992558029909,1.20370011065121,1.06682693861989,0.690935896250635,0.789493819176908
21,600,21/01/2011,38.1909969989935,4.46626570836166,4.90255215808,2.75499537965771,6.07804302585429,5.27090613757368,3.41923757883693,4.05480407145394
22,601,22/01/2011,19.0906327332513,2.69777853112675,3.14206986752,1.47446065906483,3.91094532676869,3.29772106753891,2.13562737376589,2.33518974169073
23,602,24/01/2011,36.1857164471081,7.93941525549753,9.10510471296,4.38702037194017,11.3094996636507,9.62219323125633,6.22466411746491,7.09219931427225
24,603,14/01/2011,17.0809890249703,1.2789690192578,1.3352788384,0.871834743602804,1.65088894539995,1.46549849103034,0.947863867192184,1.18546217326339
25,604,14/01/2011,9.04456767053682,2.28596117804698,2.70442382879238,1.18390021674458,3.36701339781025,2.82211592070216,1.81599095354795,1.97272820014971
26,605,12/01/2011,20.106177401679,3.8118405292605,4.26880334336,2.21412611288438,5.29381265751941,4.55501970710665,2.94281301385661,3.59302639286755
27,606,13/01/2011,33.1615963869133,4.40752557397384,4.94979680512,2.59268070305526,6.14516709178463,5.27253660403865,3.40879111222028,3.93745275724757
28,607,21/01/2011,53.2601435101899,10.8252079980902,12.9805780935571,5.54870869093018,16.1927605702336,13.4640312297161,8.76885482503817,9.96115338894392
29,608,22/01/2011,35.1707688230319,6.24507623275242,7.1196265056,3.51960019602077,8.84263152672109,7.54052019261705,4.88878053384406,5.52182195234938
30,609,22/01/2011,9.04178897840041,0.589664602074555,0.60447634688,0.417770033639715,0.746847101888676,0.668373493200868,0.435175010426936,0.492110217142111
31,610,24/01/2011,14.07497740092,2.31443682413321,2.54140914752,1.40448375459428,3.14820181958551,2.73336412098887,1.75845137097784,2.0558022669318
32,611,14/11/2010,27.1315938689463,2.84357975794547,3.0384692356352,1.84385757553102,3.76026006412857,3.30347515106948,2.13368415530116,2.39278266314411
33,612,20/11/2010,1.00598013033393,0.139043420078084,0.14711712512,0.090874249089761,0.181843088112331,0.160656322202344,0.106533879279818,0.150894028910887
34,613,20/11/2010,22.107848517075,2.42180470965333,2.64002940416,1.50703153296137,3.27072910841689,2.84704024682656,1.83772355100046,2.20580984526937
35,614,20/11/2010,9.0483839907524,2.53255770000491,2.97664926528,1.32291494101205,3.70326280009826,3.11486475153796,2.00936900408265,2.08210503313769
36,615,16/11/2010,30.1514050761395,3.78811824668501,4.1002022419968,2.3748289010457,5.07570654932389,4.43554535975001,2.87413034689915,2.50895912675427
37,616,16/11/2010,38.1909597577946,4.74162680812104,5.18860950656,2.92041974484289,6.42873802845004,5.58715389480318,3.6070520821338,4.26665649422096
38,617,16/11/2010,35.1845074460686,10.6034609895678,12.51236537216,5.48945763221265,15.5713266171262,13.0724448701462,8.4446135483611,9.45273537746392
39,618,18/11/2010,49.2481825205875,7.38596677900538,8.12245558019526,4.47560874207761,10.0635875571021,8.73026898111159,5.64985961023922,6.68788076628194
40,619,15/11/2010,20.1019654122589,2.74916708790083,3.01938343936,1.67626547657685,3.74136316623981,3.24667870838068,2.10199018608264,2.5940268926052
41,620,15/11/2010,21.0999646649528,2.41475814070703,2.65831626752,1.47854840043748,3.29597989874605,2.85490341946297,1.8472805165071,2.16336007542201
42,621,13/11/2010,8.03517822048119,0.270849606951815,0.26571689408,0.212627703474898,0.328206530477712,0.299013026733722,0.192373719211728,0.223887377667709
43,622,13/11/2010,18.0850260175723,1.073641368714,1.08667379136,0.781736788170746,1.34212604575781,1.20776774346936,0.778635471914203,0.935543552295019
44,623,14/11/2010,10.0505117151094,0.607994653453499,0.6229341528,0.431290851484363,0.769647913442926,0.688937381511629,0.44551796049991,0.493966322037118
45,624,19/11/2010,5.02314452810892,0.249569478107607,0.25042832576,0.18570856873215,0.309306834325612,0.27928334539251,0.181714703476375,0.230718114087004
46,625,19/11/2010,6.03345346195362,1.98050055112106,2.3027029696,1.04926484256677,2.86134787529564,2.42088473851035,1.57058046008869,1.87429880333476
